ZONEID,ZONELABEL,cycletowork,age25to34,travel10to20km,zerocarsvans
E05000026,Abbey,0.467737,36.8,30.8,48.2
E05000027,Alibon,0.604782,21.5,23.5,32.1
E05000028,Becontree,0.916636,23.7,25.5,29.4
E05000029,Chadwell Heath,0.674258,21.2,24.7,27.2
E05000030,Eastbrook,0.952253,17.6,24.4,19.4
E05000031,Eastbury,0.871322,24,26.2,34.2
E05000032,Gascoigne,0.735474,30.5,28.9,47
E05000033,Goresbrook,1.046983,22.4,26.5,29
E05000034,Heath,0.896735,21.7,22.6,34.8
E05000035,Longbridge,0.688299,22.6,28,17.6
E05000036,Mayesbrook,0.872925,21.8,25.8,29.9
E05000037,Parsloes,0.684728,20.5,24.5,29.4
E05000038,River,0.793437,20.9,25.5,32.4
E05000039,Thames,1.23212,27.3,28.4,36.2
E05000040,Valence,0.87863,21.9,25.1,28.9
E05000041,Village,1.353162,21.1,23.6,35.9
E05000042,Whalebone,0.602007,22.3,26.7,24.6
E05000043,Brunswick Park,0.61422,18.1,32.5,13.5
E05000044,Burnt Oak,0.441552,24.2,27.4,31.9
E05000045,Childs Hill,1.589226,30.1,10.8,33.8
E05000046,Colindale,0.582448,27.2,28.7,31.4
E05000047,Coppetts,1.327196,25.4,28.1,24.2
E05000048,East Barnet,0.568905,19.5,32.7,15.8
E05000049,East Finchley,2.144526,26.9,20.2,29.7
E05000050,Edgware,0.41841,20.8,28.7,18.5
E05000051,Finchley Church End,0.880098,24.2,27.7,18.9
E05000052,Garden Suburb,1.635021,22.3,15.6,17.4
E05000053,Golders Green,0.971888,28.6,14.4,24.3
E05000054,Hale,0.506288,20.7,31.4,15.6
E05000055,Hendon,0.774279,29.6,25.5,26.4
E05000056,High Barnet,1.020682,17.8,35,14.1
E05000057,Mill Hill,0.619787,21.4,32.4,14.9
E05000058,Oakleigh,0.600888,19.7,33.9,15.2
E05000059,Totteridge,0.677431,20.1,38,13.3
E05000060,Underhill,0.500307,16.4,31.1,19.7
E05000061,West Finchley,1.116516,29.4,36.8,24.4
E05000062,West Hendon,0.809311,28.6,22.3,27.6
E05000063,Woodhouse,1.284895,24.6,31.1,22.9
E05000064,Barnehurst,0.652637,15.6,23.5,12.4
E05000065,Belvedere,0.798591,20.9,28.6,22
E05000066,Blackfen and Lamorbey,0.969729,14.3,29.6,9.5
E05000067,Blendon and Penhill,0.863602,14.7,30.2,8.2
E05000068,Brampton,0.721122,12.7,31.8,10.5
E05000069,Christchurch,0.644183,17.1,28.3,14.1
E05000070,Colyers,0.69462,18.4,20.9,20.6
E05000071,Crayford,0.701227,18.6,17,17.1
E05000072,Cray Meadows,0.979768,16.9,25.9,17
E05000073,Danson Park,0.722892,17.7,31.4,15
E05000074,East Wickham,0.764721,16.2,30,15.2
E05000075,Erith,0.644934,23.8,22.5,25.7
E05000076,Falconwood and Welling,0.711292,16.6,31.4,11
E05000077,Lesnes Abbey,0.642055,16.7,28.7,22.3
E05000078,Longlands,0.884008,16.1,34.7,14.6
E05000079,North End,0.774406,21,17.5,29.4
E05000080,Northumberland Heath,0.836492,15.3,23.5,13.2
E05000081,St Mary's,0.841796,14.6,28,9
E05000082,St Michael's,0.753769,16.4,32.2,9.6
E05000083,Sidcup,0.783818,15.6,33.7,14.6
E05000084,Thamesmead East,0.764706,20.2,33,32.8
E05000085,Alperton,1.018707,27.4,18.8,31.3
E05000086,Barnhill,0.320568,26.4,26.3,25.4
E05000087,Brondesbury Park,3.132458,30.1,9.6,36
E05000088,Dollis Hill,0.810148,22.5,14.4,26.9
E05000089,Dudden Hill,1.975483,28.8,15.5,35.5
E05000090,Fryent,0.657163,23.9,23.8,21.7
E05000091,Harlesden,1.922761,24.6,12.5,52.4
E05000092,Kensal Green,3.359874,27.1,9.9,43.8
E05000093,Kenton,0.417491,22.8,30.7,13.8
