gender,age,children_under_18,household_income,frequency,recline_frequency,recline_obligation,recline_rude,recline_eliminate,switch_seats_friends,switch_seats_family,wake_up_bathroom,wake_up_walk,baby,unruly_child,two_arm_rests,middle_arm_rest,shade,unsold_seat,talk_stranger,get_up
Male,30-44,TRUE,NA,Once a year or less,About half the time,TRUE,Somewhat,FALSE,No,No,No,No,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice
Male,30-44,FALSE,"$100,000 - $149,999",Once a year or less,Usually,TRUE,No,FALSE,No,No,No,Somewhat,Somewhat,Very,Whoever puts their arm on the arm rest first,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times
Male,30-44,FALSE,"$0 - $24,999",Once a year or less,Always,FALSE,No,FALSE,Somewhat,No,No,Somewhat,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times
Male,30-44,FALSE,"$50,000 - $99,999",Once a month or less,About half the time,FALSE,No,FALSE,No,No,Somewhat,Somewhat,Somewhat,Very,The person in the middle seat gets both arm rests,The person in aisle,Everyone in the row should have some say,No,No,Twice
Male,30-44,TRUE,"$25,000 - $49,999",Once a year or less,Usually,TRUE,No,FALSE,Somewhat,No,Somewhat,Very,Very,Very,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,Somewhat,No,Once
Male,30-44,TRUE,NA,Once a month or less,Once in a while,FALSE,Somewhat,TRUE,Somewhat,No,No,No,No,Somewhat,The person in the middle seat gets both arm rests,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,Somewhat,Twice
Male,30-44,TRUE,"$0 - $24,999",Once a year or less,Once in a while,TRUE,No,TRUE,No,No,No,Somewhat,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Four times
Male,30-44,FALSE,"$0 - $24,999",Once a year or less,Never,TRUE,Very,TRUE,Very,Very,Very,Very,Very,Very,Other (please specify),Other (please specify),Everyone in the row should have some say,Very,Very,It is not okay to get up during flight
Male,30-44,FALSE,"$50,000 - $99,999",Once a month or less,Usually,TRUE,No,FALSE,No,No,Somewhat,Very,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,Very,No,Four times
Male,30-44,NA,"$100,000 - $149,999",Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
