country,item,year,area,yield
Spain,Apples,1961,16800,22946.4
Spain,Apples,1962,17400,15775.9
Spain,Apples,1963,18100,26558
Spain,Apples,1964,22200,14486.5
Spain,Apples,1965,26400,16924.2
Spain,Apples,1966,27300,15098.9
Spain,Apples,1967,28600,13227.3
Spain,Apples,1968,30200,15897.4
Spain,Apples,1969,32400,14345.7
Spain,Apples,1970,43400,11149.8
Spain,Apples,1971,49300,13336.7
Spain,Apples,1972,52900,14087
Spain,Apples,1973,61000,16641
Spain,Apples,1974,65600,15826.2
Spain,Apples,1975,67100,16076
Spain,Apples,1976,67600,14900.9
Spain,Apples,1977,62600,11661.3
Spain,Apples,1978,62200,17234.7
Spain,Apples,1979,60400,19233.4
Spain,Apples,1980,59500,15648.7
Spain,Apples,1981,58700,18102.2
Spain,Apples,1982,58700,15190.8
Spain,Apples,1983,57900,18575.1
Spain,Apples,1984,56900,18072.1
Spain,Apples,1985,68300,15665.8
Spain,Apples,1986,60900,13422
Spain,Apples,1987,65600,15899.4
Spain,Apples,1988,61200,14176.5
Spain,Apples,1989,60900,13300.5
Spain,Apples,1990,60900,10780
Spain,Apples,1991,59400,8700.3
Spain,Apples,1992,57300,19116.9
Spain,Apples,1993,53700,16582.9
Spain,Apples,1994,52700,14686.1
Spain,Apples,1995,51500,15844.7
Spain,Apples,1996,49400,18206.5
Spain,Apples,1997,49600,19832.7
Spain,Apples,1998,49300,14929
Spain,Apples,1999,49100,20130.3
Spain,Apples,2000,48760,16689.5
Spain,Apples,2001,42316,21680
Spain,Apples,2002,43205,16082
Spain,Apples,2003,46020,19146
Spain,Apples,2004,42189,16376
Spain,Apples,2005,38974,19864.8
Spain,Apples,2006,37844,17185.9
Spain,Apples,2007,36902,19543.1
Spain,Apples,2008,33362,19834.7
Spain,Apples,2009,32715,18400.7
Spain,Apples,2010,31812,20304.2
Spain,Apples,2011,31507,21273.5
Spain,Apples,2012,30753,15648
Spain,Apples,2013,30800,17740.3
Spain,Apples,2014,30726,20205.1
Spain,Apples,2015,30721,19322
Spain,Apples,2016,30872,20120.6
Spain,Apples,2017,30550,19215.5
Spain,Apples,2018,29930,18809.2
Spain,Apples,2019,29640,21553.3
Spain,Apricots,1961,10400,10567.3
Spain,Apricots,1962,10800,10083.3
Spain,Apricots,1963,11700,9376.1
Spain,Apricots,1964,12900,10038.8
